date,site,SGD_number,umol.cm2.hr,new_colonynumber,P_R,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,new_pH
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.03,-0.235835074,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.05,-0.263873255,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.1,-0.0847973,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.5,1.313073381,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,1,-0.19109961,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,2,-0.025905678,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,4,-0.116566347,20,NEC,,,,,
6/17/23,Varari,0,0.30437451,1,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/17/23,Varari,0.01,-0.011307146,1,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/17/23,Varari,0.03,0.043390657,1,NEC,,,,,
6/17/23,Varari,0.03,0.043390657,1,NEC,,,,,
6/17/23,Varari,0.03,0.043390657,1,NEC,,,,,
6/17/23,Varari,0.03,-0.041121091,1,NEC,,,,,
6/17/23,Varari,0.05,0.021196633,1,NEC,,,,,
6/17/23,Varari,0.05,0.021196633,1,NEC,,,,,
6/17/23,Varari,0.05,0.021196633,1,NEC,,,,,
6/17/23,Varari,0.05,0.138458726,1,NEC,,,,,
6/17/23,Varari,0.1,0.08471473,1,NEC,,,,,
6/17/23,Varari,0.1,0.08471473,1,NEC,,,,,
6/17/23,Varari,0.1,0.08471473,1,NEC,,,,,
6/17/23,Varari,0.1,0.041839209,1,NEC,,,,,
6/17/23,Varari,0.5,0.080798737,1,NEC,,,,,
6/17/23,Varari,0.5,0.080798737,1,NEC,,,,,
6/17/23,Varari,0.5,0.080798737,1,NEC,,,,,
6/17/23,Varari,0.5,0.058859658,1,NEC,,,,,
6/17/23,Varari,1,-0.129270631,1,NEC,,,,,
6/17/23,Varari,1,-0.129270631,1,NEC,,,,,
6/17/23,Varari,1,-0.129270631,1,NEC,,,,,
6/17/23,Varari,1,-0.15969721,1,NEC,,,,,
6/17/23,Varari,2,-0.113265076,1,NEC,,,,,
6/17/23,Varari,2,-0.113265076,1,NEC,,,,,
6/17/23,Varari,2,-0.113265076,1,NEC,,,,,
6/17/23,Varari,2,-0.161303272,1,NEC,,,,,
6/17/23,Varari,2,0.370034267,1,NEC,,,,,
6/17/23,Varari,4,0.171465469,1,NEC,,,,,
6/17/23,Varari,4,0.171465469,1,NEC,,,,,
6/17/23,Varari,4,0.171465469,1,NEC,,,,,
6/17/23,Varari,4,-0.166797432,1,NEC,,,,,
6/17/23,Varari,4,-0.200419533,1,NEC,,,,,
6/17/23,Varari,0,0.124613008,2,NEC,,,,,
6/17/23,Varari,0,0.124613008,2,NEC,,,,,
6/17/23,Varari,0,0.124613008,2,NEC,,,,,
6/17/23,Varari,0.01,-0.053135002,2,NEC,,,,,
6/17/23,Varari,0.01,-0.053135002,2,NEC,,,,,
6/17/23,Varari,0.01,-0.053135002,2,NEC,,,,,
6/17/23,Varari,0.01,-0.037441601,2,NEC,,,,,
6/17/23,Varari,0.03,0.050572261,2,NEC,,,,,
6/17/23,Varari,0.03,0.050572261,2,NEC,,,,,
6/17/23,Varari,0.03,0.050572261,2,NEC,,,,,
6/17/23,Varari,0.03,-0.132653088,2,NEC,,,,,
6/17/23,Varari,0.05,-0.019383452,2,NEC,,,,,
6/17/23,Varari,0.05,-0.019383452,2,NEC,,,,,
6/17/23,Varari,0.05,-0.019383452,2,NEC,,,,,
6/17/23,Varari,0.05,0.148171288,2,NEC,,,,,
6/17/23,Varari,0.1,-0.012674398,2,NEC,,,,,
6/17/23,Varari,0.1,-0.012674398,2,NEC,,,,,
6/17/23,Varari,0.1,-0.012674398,2,NEC,,,,,
6/17/23,Varari,0.1,-0.097370943,2,NEC,,,,,
6/17/23,Varari,0.5,-0.024500919,2,NEC,,,,,
6/17/23,Varari,0.5,-0.024500919,2,NEC,,,,,
6/17/23,Varari,0.5,-0.024500919,2,NEC,,,,,
6/17/23,Varari,0.5,-0.044739252,2,NEC,,,,,
6/17/23,Varari,1,-0.280639371,2,NEC,,,,,
6/17/23,Varari,1,-0.280639371,2,NEC,,,,,
6/17/23,Varari,1,-0.280639371,2,NEC,,,,,
6/17/23,Varari,1,-0.415952487,2,NEC,,,,,
6/17/23,Varari,2,-0.143779353,2,NEC,,,,,
6/17/23,Varari,2,-0.143779353,2,NEC,,,,,
6/17/23,Varari,2,-0.143779353,2,NEC,,,,,
6/17/23,Varari,2,-0.181601794,2,NEC,,,,,
6/17/23,Varari,2,0.236742029,2,NEC,,,,,
6/17/23,Varari,4,0.145724337,2,NEC,,,,,
6/17/23,Varari,4,0.145724337,2,NEC,,,,,
6/17/23,Varari,4,0.145724337,2,NEC,,,,,
6/17/23,Varari,4,-0.417020853,2,NEC,,,,,
6/17/23,Varari,4,-0.472955677,2,NEC,,,,,
6/17/23,Varari,0,-0.027273052,3,NEC,,,,,
6/17/23,Varari,0,-0.027273052,3,NEC,,,,,
6/17/23,Varari,0,-0.027273052,3,NEC,,,,,
6/17/23,Varari,0.01,-0.149631302,3,NEC,,,,,
6/17/23,Varari,0.01,-0.149631302,3,NEC,,,,,
6/17/23,Varari,0.01,-0.149631302,3,NEC,,,,,
6/17/23,Varari,0.01,-0.143019293,3,NEC,,,,,
6/17/23,Varari,0.03,-0.14302106,3,NEC,,,,,
6/17/23,Varari,0.03,-0.14302106,3,NEC,,,,,
6/17/23,Varari,0.03,-0.14302106,3,NEC,,,,,
6/17/23,Varari,0.03,-0.289193907,3,NEC,,,,,
6/17/23,Varari,0.05,-0.100603866,3,NEC,,,,,
6/17/23,Varari,0.05,-0.100603866,3,NEC,,,,,
6/17/23,Varari,0.05,-0.100603866,3,NEC,,,,,
6/17/23,Varari,0.05,0.021043675,3,NEC,,,,,
6/17/23,Varari,0.1,-0.127532451,3,NEC,,,,,
6/17/23,Varari,0.1,-0.127532451,3,NEC,,,,,
6/17/23,Varari,0.1,-0.127532451,3,NEC,,,,,
6/17/23,Varari,0.1,-0.167098109,3,NEC,,,,,
6/17/23,Varari,0.5,-0.264783767,3,NEC,,,,,
6/17/23,Varari,0.5,-0.264783767,3,NEC,,,,,
6/17/23,Varari,0.5,-0.264783767,3,NEC,,,,,
6/17/23,Varari,0.5,-0.300091809,3,NEC,,,,,
6/17/23,Varari,1,-0.293320942,3,NEC,,,,,
6/17/23,Varari,1,-0.293320942,3,NEC,,,,,
6/17/23,Varari,1,-0.293320942,3,NEC,,,,,
6/17/23,Varari,1,-0.363481229,3,NEC,,,,,
6/17/23,Varari,2,-0.225831267,3,NEC,,,,,
6/17/23,Varari,2,-0.225831267,3,NEC,,,,,
6/17/23,Varari,2,-0.225831267,3,NEC,,,,,
6/17/23,Varari,2,-0.256379331,3,NEC,,,,,
6/17/23,Varari,2,0.081504575,3,NEC,,,,,
6/17/23,Varari,4,-0.043356898,3,NEC,,,,,
6/17/23,Varari,4,-0.043356898,3,NEC,,,,,
6/17/23,Varari,4,-0.043356898,3,NEC,,,,,
6/17/23,Varari,4,-0.36899347,3,NEC,,,,,
6/17/23,Varari,4,-0.401360561,3,NEC,,,,,
6/18/23,Varari,0,0.008043099,4,NEC,,,,,
6/18/23,Varari,0,0.008043099,4,NEC,,,,,
6/18/23,Varari,0.01,0.008409419,4,NEC,,,,,
6/18/23,Varari,0.01,0.008409419,4,NEC,,,,,
6/18/23,Varari,0.03,0.034183188,4,NEC,,,,,
6/18/23,Varari,0.03,0.034183188,4,NEC,,,,,
6/18/23,Varari,0.05,Inf,4,NEC,,,,,
6/18/23,Varari,0.05,Inf,4,NEC,,,,,
6/18/23,Varari,0.1,0.021223166,4,NEC,,,,,
6/18/23,Varari,0.1,0.021223166,4,NEC,,,,,
6/18/23,Varari,0.5,0.019644528,4,NEC,,,,,
6/18/23,Varari,0.5,0.019644528,4,NEC,,,,,
6/18/23,Varari,1,0.04647939,4,NEC,,,,,
6/18/23,Varari,1,0.04647939,4,NEC,,,,,
6/18/23,Varari,2,0.003088666,4,NEC,,,,,
6/18/23,Varari,2,0.003088666,4,NEC,,,,,
6/18/23,Varari,4,-0.460868642,4,NEC,,,,,
6/18/23,Varari,4,-0.460868642,4,NEC,,,,,
6/21/23,Varari,0,0.18526857,5,NEC,,,,,
6/21/23,Varari,0,0.18526857,5,NEC,,,,,
6/21/23,Varari,0,0.18526857,5,NEC,,,,,
6/21/23,Varari,0.01,0.069601511,5,NEC,,,,,
6/21/23,Varari,0.01,0.069601511,5,NEC,,,,,
6/21/23,Varari,0.01,0.069601511,5,NEC,,,,,
6/21/23,Varari,0.03,0.046742156,5,NEC,,,,,
6/21/23,Varari,0.03,0.046742156,5,NEC,,,,,
6/21/23,Varari,0.03,0.046742156,5,NEC,,,,,
6/21/23,Varari,0.05,0.036949975,5,NEC,,,,,
6/21/23,Varari,0.05,0.036949975,5,NEC,,,,,
6/21/23,Varari,0.05,0.036949975,5,NEC,,,,,
6/21/23,Varari,0.1,0.063709974,5,NEC,,,,,
6/21/23,Varari,0.1,0.063709974,5,NEC,,,,,
6/21/23,Varari,0.1,0.063709974,5,NEC,,,,,
6/21/23,Varari,0.5,0.021998775,5,NEC,,,,,
6/21/23,Varari,0.5,0.021998775,5,NEC,,,,,
6/21/23,Varari,0.5,0.021998775,5,NEC,,,,,
6/21/23,Varari,1,0.080933856,5,NEC,,,,,
6/21/23,Varari,1,0.080933856,5,NEC,,,,,
6/21/23,Varari,1,0.080933856,5,NEC,,,,,
6/21/23,Varari,2,0.059405918,5,NEC,,,,,
6/21/23,Varari,2,0.059405918,5,NEC,,,,,
6/21/23,Varari,2,0.059405918,5,NEC,,,,,
6/21/23,Varari,4,0.078041228,5,NEC,,,,,
6/21/23,Varari,4,0.078041228,5,NEC,,,,,
6/21/23,Varari,4,0.078041228,5,NEC,,,,,
6/21/23,Varari,0,0.001774474,6,NEC,,,,,
6/21/23,Varari,0,0.001774474,6,NEC,,,,,
6/21/23,Varari,0,0.001774474,6,NEC,,,,,
6/21/23,Varari,0.01,0.019407281,6,NEC,,,,,
6/21/23,Varari,0.01,0.019407281,6,NEC,,,,,
6/21/23,Varari,0.01,0.019407281,6,NEC,,,,,
6/21/23,Varari,0.03,0.062480549,6,NEC,,,,,
6/21/23,Varari,0.03,0.062480549,6,NEC,,,,,
6/21/23,Varari,0.03,0.062480549,6,NEC,,,,,
6/21/23,Varari,0.05,0.061223796,6,NEC,,,,,
6/21/23,Varari,0.05,0.061223796,6,NEC,,,,,
6/21/23,Varari,0.05,0.061223796,6,NEC,,,,,
6/21/23,Varari,0.1,0.035449963,6,NEC,,,,,
6/21/23,Varari,0.1,0.035449963,6,NEC,,,,,
6/21/23,Varari,0.1,0.035449963,6,NEC,,,,,
6/21/23,Varari,0.5,0.032222595,6,NEC,,,,,
6/21/23,Varari,0.5,0.032222595,6,NEC,,,,,
6/21/23,Varari,0.5,0.032222595,6,NEC,,,,,
6/21/23,Varari,1,0.079271664,6,NEC,,,,,
6/21/23,Varari,1,0.079271664,6,NEC,,,,,
6/21/23,Varari,1,0.079271664,6,NEC,,,,,
6/21/23,Varari,2,0.031238492,6,NEC,,,,,
6/21/23,Varari,2,0.031238492,6,NEC,,,,,
6/21/23,Varari,2,0.031238492,6,NEC,,,,,
6/21/23,Varari,4,0.028827147,6,NEC,,,,,
6/21/23,Varari,4,0.028827147,6,NEC,,,,,
6/21/23,Varari,4,0.028827147,6,NEC,,,,,
6/22/23,Varari,0,0.132461271,7,NEC,,,,,
6/22/23,Varari,0,0.132461271,7,NEC,,,,,
6/22/23,Varari,0,0.132461271,7,NEC,,,,,
6/22/23,Varari,0.01,0.176648935,7,NEC,,,,,
6/22/23,Varari,0.01,0.176648935,7,NEC,,,,,
6/22/23,Varari,0.01,0.176648935,7,NEC,,,,,
6/22/23,Varari,0.03,0.109358325,7,NEC,,,,,
6/22/23,Varari,0.03,0.109358325,7,NEC,,,,,
6/22/23,Varari,0.03,0.109358325,7,NEC,,,,,
6/22/23,Varari,0.05,0.135080576,7,NEC,,,,,
6/22/23,Varari,0.05,0.135080576,7,NEC,,,,,
6/22/23,Varari,0.05,0.135080576,7,NEC,,,,,
6/22/23,Varari,0.1,0.184301515,7,NEC,,,,,
6/22/23,Varari,0.1,0.184301515,7,NEC,,,,,
6/22/23,Varari,0.1,0.184301515,7,NEC,,,,,
6/22/23,Varari,0.5,0.147348655,7,NEC,,,,,
6/22/23,Varari,0.5,0.147348655,7,NEC,,,,,
6/22/23,Varari,0.5,0.147348655,7,NEC,,,,,
6/22/23,Varari,1,0.24076656,7,NEC,,,,,
6/22/23,Varari,1,0.24076656,7,NEC,,,,,
6/22/23,Varari,1,0.24076656,7,NEC,,,,,
6/22/23,Varari,2,-0.016309821,7,NEC,,,,,
6/22/23,Varari,2,-0.016309821,7,NEC,,,,,
6/22/23,Varari,2,-0.016309821,7,NEC,,,,,
6/22/23,Varari,4,0.144941718,7,NEC,,,,,
6/22/23,Varari,4,0.144941718,7,NEC,,,,,
6/22/23,Varari,4,0.144941718,7,NEC,,,,,
6/22/23,Varari,0,-0.054260029,8,NEC,,,,,
6/22/23,Varari,0,-0.054260029,8,NEC,,,,,
6/22/23,Varari,0,-0.054260029,8,NEC,,,,,
6/22/23,Varari,0.01,-0.126472216,8,NEC,,,,,
6/22/23,Varari,0.01,-0.126472216,8,NEC,,,,,
6/22/23,Varari,0.01,-0.126472216,8,NEC,,,,,
6/22/23,Varari,0.03,-0.12718926,8,NEC,,,,,
6/22/23,Varari,0.03,-0.12718926,8,NEC,,,,,
6/22/23,Varari,0.03,-0.12718926,8,NEC,,,,,
6/22/23,Varari,0.05,-0.105252559,8,NEC,,,,,
6/22/23,Varari,0.05,-0.105252559,8,NEC,,,,,
6/22/23,Varari,0.05,-0.105252559,8,NEC,,,,,
6/22/23,Varari,0.1,-0.028617376,8,NEC,,,,,
6/22/23,Varari,0.1,-0.028617376,8,NEC,,,,,
6/22/23,Varari,0.1,-0.028617376,8,NEC,,,,,
6/22/23,Varari,0.5,-0.05841513,8,NEC,,,,,
6/22/23,Varari,0.5,-0.05841513,8,NEC,,,,,
6/22/23,Varari,0.5,-0.05841513,8,NEC,,,,,
6/22/23,Varari,1,#NAME?,8,NEC,,,,,
6/22/23,Varari,1,#NAME?,8,NEC,,,,,
6/22/23,Varari,1,#NAME?,8,NEC,,,,,
6/22/23,Varari,2,-0.107512221,8,NEC,,,,,
6/22/23,Varari,2,-0.107512221,8,NEC,,,,,
6/22/23,Varari,2,-0.107512221,8,NEC,,,,,
6/22/23,Varari,4,-0.044741843,8,NEC,,,,,
6/22/23,Varari,4,-0.044741843,8,NEC,,,,,
6/22/23,Varari,4,-0.044741843,8,NEC,,,,,
