Task,T5828
Scope 1/1, Sample 1/29 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.2550,34,-7.4,22.0,0.0075,,
0.2630,35,-6.4,22.0,0.0075,,
0.2715,36,-5.4,22.0,0.0075,,
0.2800,37,-4.2,22.0,0.0085,,
0.2875,38,-2.9,22.0,0.0075,,
0.2960,39,-1.8,22.0,0.0085,,
0.3045,40,-0.5,22.0,0.0075,,
0.3130,41,0.7,22.0,0.0075,,
0.3215,42,0.9,22.0,0.0075,,
0.3300,43,2.2,22.0,0.0075,,
0.3375,44,3.6,22.0,0.0075,,
0.3460,45,4.1,22.0,0.0085,,
0.3540,46,5.1,22.0,0.0075,,
0.3625,47,5.9,22.0,0.0075,,
0.3710,48,6.7,22.0,0.0075,,
0.3795,49,7.6,22.0,0.0075,,
0.3870,50,8.4,22.0,0.0075,,
0.3955,51,9.4,22.0,0.0085,,
0.4040,52,10.6,22.0,0.0075,,
0.4125,53,11.5,22.0,0.0075,,
0.4210,54,12.4,22.0,0.0075,,
0.4290,55,13.3,22.0,0.0080,,
0.4370,56,14.2,22.0,0.0080,,
0.4450,57,15.0,22.0,0.0080,,
0.4535,58,16.0,22.0,0.0085,,
0.4620,59,16.8,22.0,0.0075,,
0.4705,60,17.8,22.0,0.0075,,
0.4790,61,18.7,22.0,0.0075,,
0.4865,62,19.6,22.0,0.0075,,
0.4950,63,20.4,22.0,0.0085,,
0.5035,64,21.4,22.0,0.0085,,
0.5120,65,22.2,22.0,0.0075,,
0.5200,66,23.1,22.0,0.0075,,
0.5285,67,24.1,22.0,0.0075,,
0.5360,68,24.9,22.0,0.0075,,
0.5445,69,25.7,22.0,0.0085,,
0.5530,70,26.6,22.0,0.0085,,
0.5615,71,27.3,22.0,0.0075,,
0.5700,72,28.1,22.0,0.0075,,
0.5785,73,29.0,22.0,0.0075,,
0.5865,74,29.6,22.0,0.0080,,
0.5945,75,30.5,22.0,0.0080,,
0.6025,76,31.3,22.0,0.0080,,
0.6110,77,32.2,22.1,0.0075,,
0.6195,78,33.0,22.0,0.0075,,
0.6280,79,33.9,22.0,0.0075,,
0.6365,80,34.8,22.0,0.0075,,
0.6440,81,35.6,22.0,0.0075,,
0.6525,82,36.3,22.0,0.0085,,
0.6610,83,37.1,22.0,0.0075,,
0.6695,84,37.9,22.0,0.0075,,
0.6775,85,38.7,22.1,0.0075,,
0.6860,86,39.6,22.0,0.0075,,
0.6935,87,40.3,22.1,0.0075,,
0.7020,88,41.0,22.1,0.0085,,
0.7105,89,41.8,22.1,0.0085,,
0.7190,90,42.6,22.1,0.0075,,
0.7275,91,43.3,22.0,0.0075,,
0.7360,92,44.0,22.1,0.0075,,
0.7435,93,44.5,22.1,0.0075,,
0.7520,94,45.4,22.1,0.0085,,
0.7600,95,46.0,22.1,0.0080,,
0.7685,96,46.7,22.1,0.0075,,
0.7770,97,47.5,22.1,0.0075,,
0.7855,98,48.2,22.1,0.0075,,
0.7930,99,48.9,22.1,0.0075,,
0.8015,100,49.7,22.1,0.0085,,
0.8100,101,50.4,22.1,0.0085,,
0.8185,102,51.2,22.1,0.0075,,
0.8270,103,52.0,22.1,0.0075,,
0.8350,104,52.9,22.1,0.0075,,
0.8435,105,53.7,22.1,0.0085,,
0.8510,106,54.3,22.1,0.0075,,
0.8595,107,55.1,22.1,0.0085,,
0.8680,108,55.7,22.1,0.0075,,
0.8765,109,56.5,22.1,0.0075,,
0.8850,110,57.3,22.1,0.0075,,
0.8935,111,57.9,22.1,0.0085,,
0.9010,112,58.6,22.1,0.0075,,
0.9095,113,59.3,22.1,0.0085,,
0.9175,114,60.1,22.1,0.0080,,
0.9260,115,60.8,22.1,0.0075,,
0.9345,116,61.6,22.1,0.0075,,
0.9430,117,62.3,22.1,0.0085,,
0.9505,118,62.9,22.1,0.0075,,
0.9590,119,63.8,22.1,0.0085,,
0.9675,120,64.6,22.1,0.0075,,
0.9760,121,65.2,22.1,0.0075,,
0.9845,122,65.9,22.1,0.0075,,
0.9925,123,66.8,22.1,0.0075,,
1.0005,124,67.7,22.1,0.0080,,
1.0085,125,68.4,22.1,0.0080,,
1.0170,126,69.3,22.1,0.0085,,
1.0255,127,70.1,22.1,0.0075,,
1.0340,128,70.8,22.1,0.0075,,
1.0425,129,71.6,22.1,0.0075,,
1.0500,130,72.6,22.1,0.0075,,
1.0585,131,73.4,22.1,0.0085,,
1.0670,132,74.2,22.1,0.0085,,
1.0755,133,75.2,22.1,0.0075,,
1.0835,134,76.0,22.1,0.0075,,
1.0920,135,76.9,22.1,0.0075,,
1.0995,136,77.8,22.1,0.0075,,
1.1080,137,78.7,22.1,0.0085,,
1.1165,138,79.6,22.1,0.0085,,
1.1250,139,80.7,22.1,0.0075,,
1.1335,140,81.5,22.1,0.0075,,
1.1420,141,82.5,22.1,0.0075,,
1.1505,142,83.2,22.1,0.0085,,
1.1580,143,84.2,22.1,0.0075,,
1.1665,144,85.2,22.1,0.0085,,
1.1745,145,86.3,22.1,0.0075,,
1.1830,146,87.4,22.1,0.0075,,
1.1915,147,88.4,22.1,0.0075,,
1.2000,148,89.5,22.1,0.0085,,
1.2075,149,90.8,22.1,0.0075,,
1.2160,150,92.3,22.1,0.0085,,
1.2245,151,93.7,22.1,0.0075,,
1.2330,152,95.2,22.1,0.0075,,
1.2415,153,96.6,22.1,0.0075,,
1.2495,154,97.8,22.1,0.0080,,
1.2575,155,99.4,22.1,0.0080,,
1.2655,156,100.8,22.1,0.0080,,
1.2740,157,102.7,22.1,0.0085,,
1.2825,158,104.7,22.1,0.0075,,
1.2910,159,106.5,22.1,0.0075,,
1.2995,160,108.5,22.1,0.0075,,
1.3070,161,110.2,22.1,0.0075,,
1.3155,162,111.9,22.1,0.0085,,
1.3240,163,113.8,22.1,0.0085,,
1.3320,164,116.3,22.1,0.0075,,
1.3405,165,118.6,22.1,0.0075,,
1.3490,166,121.2,22.1,0.0075,,
1.3565,167,123.7,22.1,0.0075,,
1.3650,168,126.8,22.1,0.0085,,
1.3735,169,129.6,22.1,0.0085,,
1.3820,170,132.6,22.1,0.0075,,
1.3905,171,136.5,22.1,0.0075,,
1.3990,172,140.4,22.1,0.0075,,
1.4065,173,142.9,22.1,0.0075,,
1.4150,174,146.5,22.1,0.0085,,
1.4230,175,150.0,22.1,0.0080,,
1.4315,176,153.8,22.1,0.0075,,
1.4400,177,157.0,22.1,0.0075,,
1.4485,178,159.7,22.1,0.0075,,
1.4560,179,162.0,22.1,0.0075,,
1.4645,180,164.4,22.1,0.0085,,
1.4730,181,166.9,22.1,0.0085,,
1.4815,182,169.5,22.1,0.0075,,
1.4900,183,171.6,22.1,0.0075,,
1.4980,184,173.9,22.1,0.0075,,
1.5060,185,175.4,22.1,0.0080,,
1.5140,186,177.1,22.1,0.0080,,
1.5225,187,178.9,22.1,0.0085,,
1.5310,188,180.4,22.1,0.0075,,
1.5395,189,181.8,22.1,0.0075,,
1.5480,190,183.4,22.1,0.0075,,
1.5555,191,184.6,22.1,0.0075,,
1.5600,192,185.0,22.1,0.0075,,
1.5600,432,188.4,22.1,0.0000,,
1.5605,433,188.2,22.1,0.0005,,
1.5620,434,188.2,22.1,0.0020,,
1.5645,435,188.3,22.1,0.0035,,
1.5685,436,188.4,22.1,0.0050,,
1.5750,437,188.6,22.1,0.0080,,
1.5835,438,189.3,22.1,0.0105,,
1.5910,439,190.0,22.1,0.0105,,
1.5995,440,191.1,22.1,0.0120,,
1.6080,441,192.1,22.1,0.0120,,
1.6160,442,193.2,22.1,0.0100,,
1.6245,443,194.1,22.1,0.0105,,
1.6330,444,195.2,22.1,0.0105,,
1.6405,445,196.0,22.1,0.0105,,
1.6490,446,196.7,22.1,0.0120,,
1.6575,447,197.6,22.1,0.0120,,
1.6660,448,198.6,22.1,0.0105,,
1.6745,449,199.1,22.1,0.0105,,
1.6830,450,199.9,22.1,0.0105,,
1.6910,451,200.6,22.1,0.0100,,
1.6990,452,201.2,22.1,0.0115,,
1.7070,453,201.8,22.1,0.0115,,
1.7155,454,202.6,22.1,0.0120,,
1.7240,455,203.2,22.1,0.0105,,
1.7325,456,203.8,22.1,0.0105,,
1.7410,457,204.5,22.1,0.0105,,
1.7485,458,205.0,22.1,0.0105,,
1.7570,459,205.7,22.1,0.0120,,
1.7655,460,206.3,22.1,0.0120,,
1.7740,461,206.8,22.1,0.0105,,
1.7820,462,207.4,22.1,0.0100,,
1.7905,463,208.0,22.1,0.0105,,
1.7980,464,208.4,22.1,0.0105,,
1.8065,465,208.9,22.1,0.0120,,
1.8150,466,209.4,22.1,0.0120,,
1.8235,467,209.9,22.1,0.0105,,
1.8320,468,210.6,22.1,0.0105,,
1.8405,469,211.0,22.1,0.0105,,
1.8480,470,211.4,22.1,0.0105,,
1.8565,471,211.9,22.1,0.0120,,
1.8650,472,212.4,22.1,0.0120,,
1.8730,473,212.7,22.1,0.0100,,
1.8815,474,213.3,22.1,0.0105,,
1.8900,475,213.7,22.1,0.0105,,
1.8975,476,214.2,22.1,0.0105,,
1.9060,477,214.7,22.1,0.0120,,
1.9145,478,215.0,22.1,0.0120,,
1.9230,479,215.5,22.1,0.0105,,
1.9315,480,216.0,22.1,0.0105,,
1.9395,481,216.3,22.1,0.0100,,
1.9475,482,216.7,22.1,0.0115,,
1.9555,483,217.1,22.1,0.0115,,
1.9640,484,217.4,22.1,0.0120,,
1.9725,485,217.9,22.1,0.0105,,
1.9810,486,218.4,22.1,0.0105,,
1.9895,487,218.7,22.1,0.0105,,
1.9980,488,219.0,22.1,0.0105,,
2.0055,489,219.3,22.1,0.0105,,
2.0140,490,219.7,22.1,0.0120,,
2.0220,491,219.9,22.1,0.0100,,
2.0305,492,220.4,22.1,0.0105,,
2.0390,493,220.7,22.1,0.0105,,
2.0475,494,221.1,22.1,0.0105,,
2.0550,495,221.2,22.1,0.0105,,
2.0635,496,221.5,22.1,0.0120,,
2.0720,497,221.8,22.1,0.0120,,
2.0805,498,222.1,22.1,0.0105,,
2.0890,499,222.4,22.1,0.0105,,
2.0970,500,222.8,22.1,0.0100,,
2.1050,501,223.1,22.1,0.0115,,
2.1130,502,223.3,22.1,0.0115,,
2.1215,503,223.6,22.1,0.0120,,
2.1300,504,223.9,22.1,0.0105,,
2.1385,505,224.2,22.1,0.0105,,
2.1470,506,224.5,22.1,0.0105,,
2.1545,507,224.8,22.1,0.0105,,
2.1630,508,225.1,22.1,0.0120,,
2.1715,509,225.4,22.1,0.0120,,
2.1800,510,225.6,22.1,0.0105,,
2.1880,511,225.7,22.1,0.0100,,
2.1965,512,226.1,22.1,0.0105,,
2.2050,513,226.5,22.1,0.0120,,
2.2125,514,226.7,22.1,0.0105,,
2.2210,515,227.0,22.1,0.0120,,
2.2295,516,227.3,22.1,0.0105,,
2.2380,517,227.4,22.1,0.0105,,
2.2465,518,227.9,22.1,0.0105,,
2.2545,519,228.0,22.1,0.0100,,
2.2625,520,228.3,22.1,0.0115,,
2.2705,521,228.6,22.1,0.0115,,
2.2790,522,228.8,22.1,0.0120,,
2.2875,523,229.1,22.1,0.0105,,
2.2960,524,229.4,22.1,0.0105,,
2.3045,525,229.5,22.1,0.0105,,
2.3120,526,229.6,22.1,0.0105,,
2.3205,527,230.0,22.1,0.0120,,
2.3290,528,230.3,22.1,0.0120,,
2.3375,529,230.4,22.1,0.0105,,
2.3455,530,230.6,22.1,0.0100,,
2.3540,531,230.9,22.1,0.0105,,
2.3615,532,231.2,22.1,0.0105,,
2.3700,533,231.5,22.1,0.0120,,
2.3785,534,231.6,22.1,0.0120,,
